price,bdrms,lotsize,sqrmtr,fed
320000,6,766,280,1
300000,5,881,303,1
405000,3,1530,388,1
212000,3,808,218,0
265000,3,815,266,1
227400,4,450,202,1
240000,4,740,230,0
285000,3,890,204,1
268000,3,705,158,1
310000,4,1075,211,1
266000,3,687,235,1
370000,3,1238,238,1
191000,3,650,158,0
195000,3,575,166,1
373000,4,762,289,1
466275,5,1071,316,1
332500,3,1125,237,1
315000,3,776,199,1
206000,3,750,203,0
240000,3,362,217,0
285000,4,750,268,1
300000,5,881,303,1
405000,3,1530,388,1
212000,3,808,218,0
265000,3,815,266,1
227400,4,450,202,1
240000,4,740,230,0
285000,3,890,204,1
268000,3,705,158,1
310000,4,1075,211,1
266000,3,687,235,1
270000,3,975,244,1
225000,3,750,203,0
150000,4,652,199,0
247000,3,1178,165,1
275000,3,764,222,0
230000,3,839,222,0
343000,3,1072,242,1
477500,7,1050,405,1
350000,4,1222,236,1
230000,4,601,181,1
335000,4,1886,325,0
251000,3,720,187,1
235000,4,798,211,1
361000,4,1125,237,1
190000,4,438,195,0
360000,4,1362,316,1
575000,5,1954,446,1
209001,4,800,213,1
225000,2,1110,163,0
246000,3,789,191,1
713500,5,3529,383,1
248000,4,881,190,1
230000,3,663,134,0
375000,5,830,263,1
265000,3,979,203,1
313000,3,125,318,0
417500,4,1014,429,0
253000,3,731,176,1
315000,4,833,188,1
264000,3,830,226,1
255000,2,1908,170,0
210000,3,643,162,1
180000,3,752,208,1
250000,3,1051,198,1
250000,4,703,204,1
209000,4,700,192,1
258000,4,816,212,1
289000,3,758,221,1
316000,4,692,269,0
225000,3,946,180,0
266000,4,686,191,1
310000,6,669,159,1
471250,5,1979,301,1
335000,4,1003,267,1
495000,4,1496,303,1
279500,4,1058,220,1
380000,4,1888,297,1
325000,4,1357,311,0
220000,3,788,182,1
215000,3,1444,195,0
240000,3,750,176,1
815000,5,3875,421,0
230000,3,507,199,1
306000,2,2588,253,0
425000,3,691,173,0
318000,4,11585,195,1
330000,3,1022,251,1
246000,4,743,221,1
225000,3,2355,149,0
111000,4,539,176,1
268125,3,646,227,1
244000,4,987,240,1
295000,3,757,211,1
236000,3,729,197,0
202500,3,793,181,0
219000,2,795,136,0
242000,4,619,204,1
300000,4,766,280,1
370000,3,1238,238,1
191000,3,650,158,0
195000,3,575,166,1
373000,4,762,289,1
466275,5,1071,316,1
332500,3,1125,237,1
315000,3,776,199,1
206000,3,750,203,0
285000,4,750,268,1
300000,5,881,303,1
405000,3,1530,388,1
212000,3,808,218,0
265000,3,815,266,1
227400,4,450,202,1
240000,4,740,230,0
285000,3,890,204,1
268000,3,705,158,1
310000,4,1075,211,1
266000,3,687,235,1
